Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 01-Dec-2018 at 20:35:30.
Created 01-Dec-2018 20:35:30.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74409E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.0250	 	 	 	 	-0.000684
 0.0500	 0.000126	 0.004919	 0.000030	 0.001169	-0.001366
 0.0750	 	 	 	 	-0.002224
 0.1000	 0.000487	 0.009569	 0.000116	 0.002270	-0.003070
 0.1250	 	 	 	 	-0.005242
 0.1500	 0.001133	 0.016215	 0.000269	 0.003835	-0.007352
 0.1750	 	 	 	 	-0.010313
 0.2000	 0.002028	 0.019699	 0.000480	 0.004640	-0.013064
 0.2250	 	 	 	 	-0.021517
 0.2500	 0.002985	 0.018544	 0.000705	 0.004365	-0.028908
 0.2750	 	 	 	 	-0.045472
 0.3000	 0.003712	 0.010367	 0.000879	 0.002599	-0.058513
 0.3250	 	 	 	 	-0.068812
 0.3500	 0.003884	-0.003786	 0.000937	-0.000309	-0.074765
 0.3750	 	 	 	 	-0.076648
 0.4000	 0.003242	-0.022257	 0.000832	-0.003907	-0.074284
 0.4250	 	 	 	 	-0.067979
 0.4500	 0.001640	-0.042122	 0.000547	-0.007552	-0.058792
 0.4750	 	 	 	 	-0.045675
 0.5000	-0.000865	-0.058055	 0.000100	-0.010377	-0.031661
 0.5250	 	 	 	 	-0.015175
 0.5500	-0.003824	-0.059665	-0.000436	-0.011071	-0.000662
 0.5750	 	 	 	 	 0.014189
 0.6000	-0.006224	-0.035343	-0.000927	-0.008676	 0.023577
 0.6250	 	 	 	 	 0.028245
 0.6500	-0.006609	 0.020067	-0.001216	-0.003091	 0.024911
 0.6750	 	 	 	 	 0.010928
 0.7000	-0.003650	 0.094925	-0.001176	 0.004307	-0.010056
 0.7250	 	 	 	 	-0.045029
 0.7500	 0.002121	 0.128915	-0.000803	 0.010279	-0.080654
 0.7750	 	 	 	 	-0.123806
 0.8000	 0.007566	 0.081210	-0.000207	 0.013507	-0.156855
 0.8250	 	 	 	 	-0.186718
 0.8500	 0.008295	-0.055587	 0.000492	 0.014835	-0.198495
 0.8750	 	 	 	 	-0.193167
 0.9000	 0.000988	-0.231276	 0.001221	 0.015061	-0.174261
 0.9250	 	 	 	 	-0.134406
 0.9500	-0.014464	-0.373643	 0.001972	 0.015634	-0.103206
 0.9750	 	 	 	 	 0.085291
 1.0000	-0.043673	-0.678033	 0.002793	 0.017286	 0.162813


 -------- Mode No.   7  (freq = 0.98631E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000121
 0.0500	-0.000090	-0.003519	 0.000513	 0.019990	-0.000242
 0.0750	 	 	 	 	-0.000393
 0.1000	-0.000324	-0.005879	 0.001867	 0.034427	-0.000540
 0.1250	 	 	 	 	-0.000913
 0.1500	-0.000684	-0.008613	 0.004010	 0.051310	-0.001266
 0.1750	 	 	 	 	-0.001739
 0.2000	-0.001145	-0.009930	 0.006726	 0.057752	-0.002152
 0.2250	 	 	 	 	-0.003336
 0.2500	-0.001630	-0.009671	 0.009438	 0.051388	-0.004337
 0.2750	 	 	 	 	-0.006624
 0.3000	-0.002048	-0.007076	 0.011464	 0.029904	-0.008638
 0.3250	 	 	 	 	-0.010712
 0.3500	-0.002281	-0.002217	 0.012160	-0.002296	-0.012773
 0.3750	 	 	 	 	-0.015182
 0.4000	-0.002227	 0.004577	 0.011120	-0.040104	-0.017910
 0.4250	 	 	 	 	-0.021261
 0.4500	-0.001799	 0.012868	 0.008209	-0.077786	-0.025133
 0.4750	 	 	 	 	-0.030297
 0.5000	-0.000941	 0.021785	 0.003567	-0.109903	-0.035868
 0.5250	 	 	 	 	-0.042765
 0.5500	 0.000305	 0.028069	-0.002318	-0.127872	-0.049355
 0.5750	 	 	 	 	-0.056931
 0.6000	 0.001678	 0.026435	-0.008604	-0.125724	-0.062713
 0.6250	 	 	 	 	-0.067452
 0.6500	 0.002620	 0.010536	-0.014078	-0.094539	-0.068529
 0.6750	 	 	 	 	-0.064918
 0.7000	 0.002338	-0.021659	-0.017227	-0.031786	-0.056803
 0.7250	 	 	 	 	-0.040594
 0.7500	 0.000505	-0.049158	-0.016426	 0.064696	-0.021822
 0.7750	 	 	 	 	 0.003787
 0.8000	-0.002011	-0.047676	-0.010333	 0.180884	 0.026265
 0.8250	 	 	 	 	 0.051208
 0.8500	-0.003403	-0.005213	 0.001764	 0.305264	 0.066894
 0.8750	 	 	 	 	 0.075336
 0.9000	-0.001877	 0.064632	 0.019066	 0.391700	 0.073993
 0.9250	 	 	 	 	 0.062241
 0.9500	 0.003139	 0.129436	 0.039704	 0.441488	 0.049866
 0.9750	 	 	 	 	-0.041292
 1.0000	 0.014919	 0.281475	 0.063904	 0.514442	-0.080847


 -------- Mode No.   8  (freq = 0.11905E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000576
 0.0500	-0.000099	-0.003842	-0.000010	-0.000385	 0.001149
 0.0750	 	 	 	 	 0.001864
 0.1000	-0.000374	-0.007122	-0.000040	-0.000799	 0.002560
 0.1250	 	 	 	 	 0.004308
 0.1500	-0.000828	-0.010882	-0.000093	-0.001304	 0.005953
 0.1750	 	 	 	 	 0.008143
 0.2000	-0.001387	-0.011369	-0.000160	-0.001337	 0.010009
 0.2250	 	 	 	 	 0.015024
 0.2500	-0.001854	-0.007133	-0.000211	-0.000656	 0.018530
 0.2750	 	 	 	 	 0.023604
 0.3000	-0.001986	 0.002060	-0.000211	 0.000661	 0.024347
 0.3250	 	 	 	 	 0.020488
 0.3500	-0.001610	 0.012979	-0.000143	 0.002061	 0.012492
 0.3750	 	 	 	 	 0.000128
 0.4000	-0.000729	 0.022086	-0.000014	 0.003026	-0.014586
 0.4250	 	 	 	 	-0.031203
 0.4500	 0.000457	 0.024869	 0.000138	 0.002996	-0.047353
 0.4750	 	 	 	 	-0.064372
 0.5000	 0.001498	 0.016034	 0.000252	 0.001488	-0.077974
 0.5250	 	 	 	 	-0.089240
 0.5500	 0.001731	-0.007116	 0.000254	-0.001408	-0.094954
 0.5750	 	 	 	 	-0.095578
 0.6000	 0.000570	-0.038186	 0.000098	-0.004650	-0.090783
 0.6250	 	 	 	 	-0.079678
 0.6500	-0.001886	-0.056413	-0.000181	-0.006208	-0.067733
 0.6750	 	 	 	 	-0.054963
 0.7000	-0.004225	-0.032081	-0.000449	-0.004261	-0.049130
 0.7250	 	 	 	 	-0.053462
 0.7500	-0.004248	 0.031350	-0.000544	 0.000393	-0.070121
 0.7750	 	 	 	 	-0.105762
 0.8000	-0.001232	 0.081788	-0.000401	 0.004998	-0.147506
 0.8250	 	 	 	 	-0.206459
 0.8500	 0.002523	 0.057001	-0.000075	 0.007797	-0.253781
 0.8750	 	 	 	 	-0.293004
 0.9000	 0.002559	-0.059073	 0.000326	 0.008450	-0.307190
 0.9250	 	 	 	 	-0.298430
 0.9500	-0.004423	-0.206441	 0.000749	 0.008848	-0.275979
 0.9750	 	 	 	 	-0.051769
 1.0000	-0.028829	-0.607037	 0.001229	 0.010226	 0.051985


 -------- Mode No.   9  (freq = 0.13738E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000100
 0.0500	-0.000002	-0.000068	-0.000001	-0.000027	-0.000199
 0.0750	 	 	 	 	-0.000323
 0.1000	-0.000007	-0.000155	-0.000003	-0.000053	-0.000446
 0.1250	 	 	 	 	-0.000761
 0.1500	-0.000019	-0.000349	-0.000006	-0.000095	-0.001074
 0.1750	 	 	 	 	-0.001528
 0.2000	-0.000042	-0.000590	-0.000012	-0.000133	-0.001979
 0.2250	 	 	 	 	-0.003502
 0.2500	-0.000081	-0.000975	-0.000020	-0.000182	-0.005023
 0.2750	 	 	 	 	-0.009066
 0.3000	-0.000141	-0.001517	-0.000030	-0.000232	-0.013031
 0.3250	 	 	 	 	-0.017302
 0.3500	-0.000231	-0.002146	-0.000042	-0.000276	-0.021385
 0.3750	 	 	 	 	-0.025650
 0.4000	-0.000352	-0.002768	-0.000057	-0.000298	-0.029742
 0.4250	 	 	 	 	-0.033964
 0.4500	-0.000499	-0.003204	-0.000071	-0.000274	-0.038181
 0.4750	 	 	 	 	-0.043268
 0.5000	-0.000658	-0.003225	-0.000082	-0.000175	-0.048537
 0.5250	 	 	 	 	-0.055174
 0.5500	-0.000804	-0.002722	-0.000087	-0.000009	-0.062084
 0.5750	 	 	 	 	-0.071460
 0.6000	-0.000919	-0.002062	-0.000082	 0.000180	-0.080991
 0.6250	 	 	 	 	-0.094054
 0.6500	-0.001019	-0.002265	-0.000070	 0.000297	-0.106786
 0.6750	 	 	 	 	-0.123062
 0.7000	-0.001179	-0.004518	-0.000056	 0.000258	-0.138200
 0.7250	 	 	 	 	-0.157462
 0.7500	-0.001480	-0.007578	-0.000046	 0.000145	-0.174662
 0.7750	 	 	 	 	-0.195182
 0.8000	-0.001886	-0.008352	-0.000041	 0.000078	-0.213079
 0.8250	 	 	 	 	-0.235659
 0.8500	-0.002210	-0.004349	-0.000037	 0.000100	-0.255012
 0.8750	 	 	 	 	-0.276232
 0.9000	-0.002228	 0.003378	-0.000030	 0.000159	-0.292655
 0.9250	 	 	 	 	-0.312089
 0.9500	-0.001846	 0.010937	-0.000022	 0.000180	-0.322958
 0.9750	 	 	 	 	-0.373082
 1.0000	-0.000595	 0.031228	-0.000013	 0.000176	-0.392360


 -------- Mode No.  10  (freq = 0.16002E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000885
 0.0500	-0.000107	-0.004084	-0.000031	-0.001187	 0.001761
 0.0750	 	 	 	 	 0.002846
 0.1000	-0.000392	-0.007224	-0.000113	-0.002062	 0.003885
 0.1250	 	 	 	 	 0.006441
 0.1500	-0.000824	-0.009738	-0.000235	-0.002743	 0.008781
 0.1750	 	 	 	 	 0.011757
 0.2000	-0.001273	-0.008009	-0.000362	-0.002254	 0.014106
 0.2250	 	 	 	 	 0.019663
 0.2500	-0.001495	-0.000607	-0.000428	-0.000373	 0.022619
 0.2750	 	 	 	 	 0.023629
 0.3000	-0.001252	 0.010300	-0.000378	 0.002359	 0.018473
 0.3250	 	 	 	 	 0.007068
