wind_speed,wind_direction
12.001,258.68
12.498,257.93
12.513,256.27
12.287,253.94
12.308,253.88
11.936,249.11
12.184,244.06
12.636,242.32
12.878,241.86
12.93,241.46
12.947,243.31
12.728,238.39
13.185,235.64
13.217,234.43
13.454,232.67
13.444,231.26
13.67,227.42
13.599,222.73
13.738,218.02
13.847,215.09
13.771,214.95
13.945,212.2
14.233,210.2
13.875,209.46
14.175,210.31
13.436,210.77
13.507,210.79
14.989,210.88
15.732,213.2
16.049,213.81
15.547,212.58
14.695,232.5
11.489,285.94
9.2781,304.32
7.8361,291.29
8.88,273.05
9.8943,261.82
9.283,254.7
8.4768,245.96
10.134,242.74
9.8113,250.69
8.3498,270.24
9.1375,301.93
11.873,317.93
14.194,322.89
14.977,324.81
14.729,326.5
14.574,319.45
15.221,312.92
15.161,306.19
16.454,307.71
17.117,315.11
16.827,326.01
15.764,328.57
15.339,326.88
15.054,321.62
14.306,318.52
14.029,314.62
12.511,321.03
11.148,329.79
9.3975,340.65
7.3644,350.14
5.2063,352.66
3.5065,346.01
2.5966,333.78
2.1217,323.44
1.5075,293.94
1.4748,243.76
2.068,200.15
3.1876,184.48
4.8444,191.81
5.848,196.89
5.9179,199.01
5.4182,190.93
5.8771,174.23
7.1833,165.31
8.0924,164.97
8.6645,166.41
9.2138,166.24
9.7265,164.26
10.179,163.54
10.618,162.25
10.692,163.85
10.8,164.8
10.514,165.36
10.489,161.55
10.695,158.21
10.61,156.33
10.712,154.64
10.434,157.52
10.242,153.57
10.416,148.65
10.853,145.3
11.041,145.35
10.81,146.35
10.47,146.78
10.324,145.94
9.9028,142.44
9.4023,137.94
9.2522,133.84
9.4833,130.5
9.4406,128.69
9.2845,129.25
8.8615,129.29
8.4732,130.36
7.7266,130.95
7.1441,129.14
6.9232,128.38
6.4106,126.29
5.6462,118.51
5.7198,107.25
6.1417,105.42
6.1171,106.31
5.7022,104.44
5.4205,100.52
5.2022,95.927
5.1348,90.224
5.2276,85.499
5.1484,88.242
5.0617,88.004
4.5914,84.219
4.1727,76.433
4.3176,69.06
4.4655,67.351
4.5532,65.939
4.5819,63.136
4.6679,61.595
4.6531,64.315
4.5749,68.646
4.4204,78.941
4.2756,88.83
3.3954,93.158
2.3691,86.534
1.7192,84.999
1.2839,68.145
0.94155,49.651
0.67496,54.586
0.4171,1.8992
1.0554,313.67
1.5525,304.35
1.5521,298.41
1.3184,289.24
1.9551,257.59
2.7261,248.23
3.4891,242.49
4.1549,239.8
4.5337,232.93
5.1825,228.4
5.925,225.43
6.6233,227.66
7.3957,226.41
7.9319,223.17
8.0732,216.84
8.4341,211.76
8.8175,205.93
9.5545,194.11
10.461,188.86
11.263,186.84
12.114,183.96
12.896,183.46
13.523,183.06
14.381,181.96
15.882,188.68
15.927,201.61
12.12,222.48
8.7662,253.83
8.0273,287.28
7.7162,287.72
7.7422,282.34
6.1737,277.56
4.5881,256.58
4.651,228.38
5.4317,211.9
6.0306,204.68
6.4378,200.15
6.8064,200.11
6.7672,199.42
5.6279,198.98
5.915,178.42
6.1647,166.39
6.4258,152.57
6.1778,143.24
6.3623,129.71
7.625,118.52
8.3834,113.37
8.2802,109.21
7.9163,102.37
7.5827,93.516
7.4184,87.91
7.2243,80.608
6.0487,68.298
5.5986,54.879
5.6157,44.932
5.9498,35.964
6.5058,33.354
6.8861,36.506
7.0735,39.924
7.2045,43.456
6.7049,43.015
6.2478,40.03
6.0017,36.725
5.6848,37.859
3.6646,47.329
2.7833,46.015
2.0213,37.956
1.9012,9.8221
2.0295,356.44
1.9629,3.0524
2.1744,349.42
3.0935,335.01
3.5186,329.29
3.5377,324.92
3.4996,315.44
3.8846,312.44
5.3677,293.7
5.4817,287.07
5.3768,277.33
5.3208,267.3
5.5546,264.27
4.9183,267.37
3.5393,260.99
2.8435,253.93
2.4075,263.79
1.7836,276.43
1.1451,266.31
1.0975,265.72
2.0711,266.39
1.7583,271.31
2.1017,301.59
1.9129,302.3
1.0515,280.22
1.3126,243.68
2.0353,243.37
2.7953,237.03
3.9876,228.16
5.451,227.96
6.5772,224.68
8.0109,215.61
9.9303,215.88
11.513,220.17
12.044,226.83
12.095,235.77
11.408,247.37
10.685,259.53
10.362,270.52
10.736,278.85
11.506,284.69
11.94,286.73
11.972,285.68
11.833,284.71
11.657,283.98
11.274,281.37
11.044,278.02
11.28,270.38
11.678,263.96
12.217,261.55
12.702,261.09
12.666,258.6
12.884,261.67
12.714,260.03
12.707,257.71
12.751,255.7
11.633,245.05
12.3,238.94
12.915,239.91
12.813,241.92
12.612,237.11
13.007,226.39
14.029,221.13
15.558,220.83
16.691,221.86
16.806,221.33
16.691,217.69
18.042,213.79
18.74,221.95
16.423,222.19
16.37,221.12
17.275,223.7
16.8,226.76
15.747,229.37
14.398,233.78
13.059,243.43
11.636,262.57
10.608,290.1
12.137,320.69
15.61,329.34
18.251,325.28
16.133,323.58
14.414,314.15
14.743,302.6
15.05,301.12
14.782,299.58
15.125,292.51
16.315,292.54
17.417,295.36
18.923,291.25
20.193,286.55
20.759,285.33
20.248,287.65
20.714,287.7
20.9,290.78
20.93,296.31
21.039,302.4
21.115,310.22
20.078,313.62
19.455,314.1
19.284,314.94
18.342,316.03
17.926,320
17.163,322.15
16.982,328.94
16.162,332.28
16.093,330.79
15.375,325.72
14.9,324.4
14.478,321.74
14.277,321.1
13.917,321.75
13.463,321.02
12.694,321.16
11.376,320.66
10.413,316.7
10.533,305.25
9.451,303.54
7.3036,299.99
6.0841,285.09
5.7358,267.03
6.7594,252.13
7.507,247.26
7.9237,243.18
8.0408,234.81
8.0191,225.19
8.0129,214.75
8.1887,201.85
8.2024,191.6
8.9127,186.04
8.8077,180.93
8.6224,176.86
8.7016,177.49
8.9066,171.89
10.12,163.45
11.017,163.76
11.647,162.08
11.177,162.93
9.9535,164.87
8.915,165.7
6.5624,156.08
6.4434,148.34
6.6067,145.68
6.042,145.92
5.1801,156.92
4.2377,185.2
3.2241,243.02
5.028,313.59
8.3029,329.1
10.367,330.06
11.029,324.45
11.256,320.66
11.335,319.23
9.6932,315.52
8.2673,315.15
7.5491,308
7.0851,295.16
6.4955,284.68
5.7056,281.03
5.2221,276.82
5.33,273.7
5.6472,275.39
5.3366,279.16
4.6812,282.16
4.9116,275.13
4.6755,271.41
3.9823,270.26
3.659,265.29
3.4889,261.14
3.4138,256.84
3.5623,250.53
3.8998,247.32
4.1232,248.99
3.6367,251.63
2.3583,231.72
2.9289,182.04
5.7318,170.54
7.3497,173.39
7.3601,169.04
7.1897,159.96
7.6852,147.71
9.1569,135.14
11.012,129.03
12.067,127.43
12.774,119.19
13.421,113.89
13.811,104.46
14.498,97.098
14.23,100.68
14.261,96.844
13.669,96.89
13.347,95.926
13.291,100.17
12.211,101.05
10.933,105.9
9.7931,110.86
8.619,110.82
7.1724,114.58
6.3496,118.17
6.0583,115.48
6.5267,115.05
4.9098,125.89
4.6385,121.28
4.8784,121.19
4.2921,106.51
5.2117,91.903
6.0067,95.899
5.2821,95.412
5.3098,96.237
5.6482,98.073
4.8777,85.21
5.0169,70.044
5.403,66.127
5.9966,50.141
7.3832,30.35
9.0704,23.668
9.9091,21.02
9.956,18.762
9.6288,18.65
9.3379,17.46
9.5914,15.071
10.312,12.86
11.116,8.6247
12.021,5.0106
12.764,354.2
13.909,352.45
14.475,352.46
14.352,353
13.744,352.99
13.386,353.29
13.447,350.73
13.743,348.41
13.982,347.77
13.89,348.36
13.748,347.42
13.533,346.69
11.735,350.83
11.368,349
11.656,346.57
11.649,346.24
11.194,345.85
10.809,345.09
10.621,346.54
10.427,346.42
10.096,346.29
9.3304,346.59
8.7955,343.11
8.4848,337.68
7.9452,330.11
7.3816,325.09
7.2294,315.62
5.7694,304.18
6.0382,295.76
5.7385,283.16
5.2802,253.35
6.8562,238.63
8.3191,235.69
9.2337,233.07
9.7921,229.9
9.8181,226.33
10.494,219.97
11.088,211.04
12.216,209.96
12.601,209.2
12.732,203.74
12.966,200.74
13.225,197.88
13.105,196.67
13.39,193.74
14.035,191.05
14.62,191.26
14.983,193.32
15.428,194.06
17.147,200.44
16.793,197.91
17.026,198.84
17.331,204.24
16.489,209.56
15.716,212.59
15.251,217.11
15.064,218.86
14.764,221.27
13.656,222.65
12.505,228.01
10.743,226.64
9.6165,231.07
8.6508,235.78
7.4685,235.91
6.682,232.81
6.3627,229.98
6.5961,228.1
7.3157,226.08
7.9125,227.82
7.9772,229.04
8.1232,228.72
8.4169,226.76
8.3669,229.01
7.5979,222.97
7.032,216.39
6.6893,203.93
7.0693,191.72
7.8749,183.46
8.8026,178.25
9.6753,179.95
10.365,184.22
10.731,187.97
10.952,195.59
11.331,200.02
11.022,202.49
11.871,200.63
12.631,199.87
13.057,204.03
12.98,209.92
13.073,210.24
13.163,210.82
13.592,212.29
13.678,215.92
13.27,218.77
12.787,219.28
12.147,218.41
9.9181,221.04
9.6938,217.73
9.1018,216.32
8.7783,214.31
8.706,209.75
9.0514,207.5
8.9477,204.43
8.9965,203.8
8.5721,207.9
8.034,205.06
7.6653,195.65
8.3117,182.88
10.536,176.77
12.399,180.44
14.721,186.29
17.469,198.61
17.701,205.24
17.358,208.81
19.102,223.15
19.995,230.05
20.181,238.46
19.184,240.84
18.958,236.37
19.376,233.37
18.447,236.92
18.341,237.77
18.317,238.14
18.299,238.92
17.297,241.58
16.325,242.47
15.59,243.04
15.12,242.57
14.561,241.89
14.06,239.35
13.948,238.02
13.676,238.04
13.528,237.55
12.962,233.06
12.852,228.54
13.59,225.89
14.226,226
14.635,222.05
15.404,217.33
15.816,214.84
16.018,210.6
16.846,208.37
17.131,207.74
17.768,205.65
18.379,204.3
19.09,204.73
19.505,204
19.707,201.81
20.479,200.48
20.765,200.17
20.633,200.44
20.602,200.23
21.238,201.03
21.925,202.96
21.823,211.48
20.212,217.9
17.944,220.44
18.13,223.54
18.216,228.11
18.427,233.17
19.194,237.47
19.149,238.73
19.044,239.76
19.359,239.73
19.911,238.3
20.398,237.24
20.211,237.24
20.045,236.97
18.915,239.99
19.227,240.24
19.148,241.73
18.784,240.69
18.775,240.65
18.217,238.93
17.863,236.49
17.525,234.96
16.692,234.05
15.774,231.88
15.295,227.6
15.072,222.83
13.486,216.14
12.856,205.58
12.472,193.74
11.736,187.77
10.014,172.78
8.7788,167.45
8.1858,190.26
7.034,226.23
6.9705,269.35
9.226,279.26
9.5108,271.88
9.4343,258.2
8.7135,256.9
8.9251,249.69
11.697,262.33
14.019,284.03
14.498,294.24
16.954,303.9
17.991,311.01
16.862,307.81
15.472,300.63
15.329,297.85
16.089,294.03
16.044,291.55
15.736,294.57
14.403,290.99
13.503,289.56
12.441,284.54
11.094,281.01
10.505,280.16
10.597,282.28
10.515,293.07
9.7347,307.43
8.8496,318.56
8.4991,322.37
8.4626,322.19
8.1748,323.12
8.1635,319.54
8.3762,323.44
8.2596,329.38
8.1871,332.49
7.6469,340.57
6.2233,353.92
5.4382,340.99
5.4832,328.31
4.4518,326.81
3.4054,325.14
3.2264,309.21
3.5482,293.06
3.8932,278.43
4.1557,270.06
4.5825,262.54
5.0734,252.31
5.8906,248.65
6.621,246.61
7.4847,243.76
7.5767,239.67
7.7089,239.23
7.9095,239.66
8.0841,238.87
8.323,244.27
7.9393,242.29
8.2064,239.51
9.248,243.52
8.936,240.52
9.2005,234.49
9.857,233.28
10.471,231.83
10.942,229.8
11.211,231.86
11.014,232.96
10.596,234.65
10.393,231.81
9.7766,233.29
9.2507,232
9.4057,229.51
9.7381,226.84
10.011,224.67
9.9577,225.38
9.794,225.1
9.7399,223.75
9.4955,218.81
9.5008,212.83
9.2303,213.43
8.1796,211.18
7.6566,210.86
7.8727,202.9
8.2744,199.14
8.1173,203.47
7.8724,208.95
7.8876,208.73
8.1328,205.6
8.1444,203.8
8.4635,198.84
8.8475,195.89
8.896,195.41
8.7882,195.78
8.3339,197.87
7.7165,200.59
7.161,202.97
6.6585,206.97
6.0386,210
5.5943,209.5
5.5809,205.27
5.5266,201.81
5.2618,196.6
4.9193,186.75
4.9938,170.42
5.4303,157.24
5.5154,157.36
