wind_speed,wind_direction
7.2076,346.35
7.8572,347.33
8.0235,346.22
8.4486,345.51
8.6862,344.94
8.4297,343.92
8.9179,346.24
9.0521,345.59
9.4507,343.96
9.4254,345.57
9.7125,343.57
9.4047,341.23
9.5336,342.61
9.6498,342.56
9.1199,346.72
9.4166,339.85
9.4337,341.44
9.5515,338.1
9.337,337.97
9.9626,338.5
10.169,340.56
10.132,334.5
10.325,337.48
10.585,342.5
10.688,337.53
10.767,338.84
11.137,338
10.797,336.19
10.828,336.27
10.429,336.68
10.422,335.76
10.369,330.13
10.087,333.12
10.548,329.69
10.666,331.02
10.357,327.44
10.024,328.91
10.624,323.41
10.155,323.67
10.559,326.72
10.174,326.25
10.322,323.31
9.9396,320.75
9.4201,320.9
9.4,319.62
9.5418,320.17
9.5016,319.43
9.3326,321.82
9.496,320.51
9.3937,318.3
9.1892,321.27
9.142,323.59
9.1974,321.49
9.2731,324.19
9.1814,323.1
9.2161,322.41
9.2362,320.53
8.9668,322.42
9.1401,324.56
8.9833,324.25
9.014,323.21
8.8408,325.03
8.9888,323.69
8.9201,323.25
8.5287,325.54
8.5278,321.57
8.159,324.75
8.3019,323.85
8.2078,322.08
7.8182,324.24
7.8555,321.35
7.8164,321.2
7.9207,321.95
7.7037,322.07
7.468,321.53
7.6391,321.21
7.6069,321.74
7.3009,320.21
7.4339,321.15
7.402,320.05
7.3096,319.72
7.1007,321.3
7.1945,316.74
7.165,318.18
7.0998,318.36
6.9431,313.15
6.6499,318.34
6.5723,315.73
6.6346,314.36
6.8145,312.83
6.5754,314.54
6.5392,313.38
6.5103,312.6
6.6373,311.41
6.259,309.8
6.3568,309.31
6.4989,306.9
6.2654,306.69
6.2714,305.67
6.3818,307.82
6.1936,305.12
5.9865,305.64
6.29,304.44
6.3138,302.85
6.1992,302.42
6.0402,300.08
6.0879,301.07
6.0235,299.57
6.0563,299.27
5.8751,296.78
5.8514,297.02
5.8893,296.86
5.7904,297.65
5.5907,295.48
5.4602,295.01
5.4449,295.7
5.5216,295.67
5.3572,295.05
5.1956,293.17
4.9696,293.34
5.2683,293.65
4.9709,290.73
5.1141,289.07
5.0972,287.94
5.173,285.74
5.1983,283.84
5.1526,283.75
5.1155,281.03
5.1811,282.81
5.2374,277.85
5.2609,278.58
5.3239,276.46
5.4173,275.97
5.5303,275.78
5.2303,275.16
5.2544,271.78
5.393,269.79
5.3606,267.59
5.4089,265.11
5.2667,267.75
5.359,262.68
5.3087,259.65
5.3173,261.19
5.4684,258.24
5.3543,255.09
