wind_speed,wind_direction
16.012,228.73
14.796,226.86
15.173,222.1
17.974,227.3
17.57,228.61
17.579,232.07
17.751,239.31
16.245,243.12
14.905,245.82
14.144,246.89
13.493,245.65
12.771,242.82
12.399,238.17
12.655,239.72
11.682,234.81
10.98,231.65
10.56,223.91
10.755,218.42
10.958,216.28
11.195,213.48
11.479,210.39
12.208,210.07
12.831,208.2
13.213,204.81
13.893,202.53
13.807,201.27
14.39,200.08
15.219,199.6
15.318,198.14
15.482,197.99
15.951,198.17
16.682,197.54
17.26,199.27
17.442,197.63
17.959,196.94
18.393,198.65
18.588,200.12
17.889,204.79
16.6,207.89
15.75,210.53
15.209,218.11
14.891,220.82
15.46,225.12
15.496,228.56
15.932,231.04
16.727,232.8
17.31,232.44
18.14,229.14
18.981,230.45
18.109,236.29
17.784,234.38
18.276,236.88
18.603,240.46
17.598,240.62
17.773,240.37
16.933,238.84
16.098,238.21
15.353,236.21
14.819,234.49
14.151,232.62
13.497,228.52
13.236,228.18
12.416,221.92
11.127,213.23
10.294,203.38
9.2722,193.46
9.2057,183.91
8.5611,173.36
7.6037,158.25
6.9758,137.56
6.6104,128.61
5.3461,143.84
5.0381,213.82
4.864,271.73
6.2932,283.38
7.6455,285.12
7.7569,285.15
7.8202,289.92
7.3634,298.4
7.1781,307.17
7.8672,313.58
9.4203,321.98
11.725,326.2
12.291,318.57
11.332,306.82
12.484,312.11
11.619,308.82
11.625,305.15
11.418,302.55
11.047,300.91
10.838,300.2
10.187,300.05
9.8801,296.62
10.598,295.81
10.603,300.97
10.213,308.71
9.2947,316.43
8.3276,329.67
8.8883,337.72
9.2372,338.99
8.7287,336.84
8.8179,333.44
8.575,329.72
9.1756,326.96
8.1914,330.3
6.9395,328.44
7.7237,316.01
7.751,314.91
7.458,313.55
7.1326,307.43
7.7524,303.73
7.7654,304.76
7.3979,300.11
7.0177,294.59
6.444,289.03
5.9278,279.93
5.7662,266.53
6.3026,253.35
6.9126,248
6.9062,242.72
7.2652,237.38
7.1287,242.72
8.5755,248.94
8.9195,249.86
8.9324,248.95
9.0968,248.15
9.1946,244.85
9.2467,240.2
9.721,237.47
9.728,235.14
9.9188,235.73
10.365,234.92
10.472,240.82
10.254,245.5
9.7658,243.86
9.424,241.32
9.2272,239.73
9.0161,236.05
9.2663,234.28
9.2953,235.25
9.1986,235.98
8.9845,234.01
8.8872,231.68
8.5519,227.8
8.4235,222.34
7.9911,228.05
8.4282,231.92
8.1712,227.25
7.8256,222.85
7.2428,222.1
6.9282,222.69
7.472,215.39
8.045,208.91
8.2207,207.72
8.4196,207.81
8.4155,210.16
8.2141,212.88
8.3577,214.62
8.2089,217.86
8.0694,220.47
7.992,220.4
7.7511,220.19
7.6148,221.84
7.1852,223.5
6.6538,222.63
6.2987,217.89
6.4638,209.46
6.8506,205.43
6.4356,204.92
5.064,197.7
4.7568,202.64
4.4573,205.32
4.1719,204.63
3.7281,199.05
3.4632,189.29
3.9694,177.83
4.7913,165.63
5.8453,161.02
6.5024,161.81
6.8052,163.29
7.0999,164.74
7.1297,165.26
6.7594,174.45
6.5632,176.54
6.7218,174.36
7.0523,172.36
7.1665,173.08
7.2298,174.02
7.2256,175.72
7.3211,174.97
7.604,173.77
7.7816,173.67
7.5513,173.46
6.5523,173.11
5.8736,176.65
5.5115,175.65
5.4792,171.58
5.7283,170.27
6.0649,174.98
6.5196,176.76
7.2547,175.23
7.7314,178.26
7.9671,184.41
8.2058,187.97
8.4821,190.89
8.2246,190.12
8.4831,197.09
8.77,201.32
9.0375,204.4
8.9066,207.59
8.8414,208.03
8.704,207.16
8.7675,208.04
8.893,209.82
8.9354,212.33
8.8467,216.69
8.6951,220.05
7.1592,220.11
6.8049,220.59
6.7529,222.9
6.8299,226.9
6.7623,230.46
6.6763,228.07
6.6235,225.45
6.8589,227.01
6.8652,226.49
6.7087,223.01
6.5156,220.35
6.3349,217.44
6.3432,206.49
6.2561,204.95
6.0786,202.08
6.0437,198.89
6.2496,190.07
6.6821,184.94
7.009,179.68
7.5652,175.52
8.1517,174.06
8.4281,173.02
8.4908,171.84
8.5206,172.24
7.8832,166.97
7.4143,167.26
7.3709,169.96
7.3231,172.83
7.5505,173.1
8.1033,176.74
8.3592,183.73
8.6415,192.25
8.8919,198.97
9.0866,204.85
9.1109,207.59
9.0863,210.91
9.4086,218.78
8.7997,225.25
8.16,229.99
7.2267,232.38
6.2101,226.91
5.6182,211.47
5.8629,192.96
6.7716,180.68
7.682,176.45
7.8816,179.98
7.5857,186.86
7.1003,195.36
5.7739,200.89
5.4102,205.88
5.0805,207.3
4.8154,211.85
4.4554,215.9
4.174,220.46
4.5042,223.64
5.1655,230.46
6.1132,241.41
6.3606,246.96
6.2336,243.95
6.7604,241.23
7.3322,255.24
8.408,254.47
8.9268,254.43
8.7899,251.16
9.1779,247.04
9.6003,247.24
9.8856,247.16
10.105,246.51
10.213,248.8
9.965,249.96
9.7627,251.17
9.668,252.45
10.151,257.56
9.5509,257.61
9.6722,258.65
9.7241,257.38
9.5814,255.42
9.075,252.01
8.9986,250.03
8.9493,248.51
8.8699,247.3
8.7498,245.77
8.6784,243.17
8.8114,239.96
9.154,235.84
9.525,235.41
9.7908,237.9
9.7313,239.89
9.4376,240.25
9.1189,238.79
8.3859,235.34
8.0558,231.29
8.1661,225.82
8.2828,222.43
8.4406,221.26
8.8393,222.74
8.1847,222.19
8.148,218.91
8.5883,222.41
8.9267,225.76
8.79,226.11
8.1864,225.12
8.2927,227.11
8.1971,224.53
8.401,222.23
8.5862,221.72
8.6604,221.03
8.9005,221.34
9.9975,225.22
10.031,231.86
9.8162,235.53
9.6998,237.48
9.7096,235.38
9.8278,235.04
9.646,234.71
9.3573,232.83
9.1968,234.41
9.4275,236.5
9.267,235.77
9.2269,235.06
9.0099,242.47
9.1007,241.19
9.4421,243.88
9.1087,247.84
8.5729,252.27
8.1996,255.72
7.7938,258.89
7.239,260.47
7.1465,263.24
6.9896,268.96
6.5809,272.46
6.1749,273.8
5.2913,284.41
4.8367,289.94
4.4105,295.17
4.2985,296.95
4.1329,295.36
3.8959,302.51
3.1068,320.33
2.7588,335.99
2.4211,346.73
1.884,4.2242
1.7996,16.706
2.425,54.414
2.4641,97.244
2.5745,101.62
2.2798,101.7
2.4673,103.45
2.6085,106.99
2.8089,111.78
2.9855,107.23
3.597,97.808
4.6159,95.376
4.9224,105.23
5.3296,112.24
6.0404,115.56
7.0113,114.45
7.0769,120.34
6.9566,122.41
6.9996,122.33
7.0575,124.03
6.8174,127.61
6.4125,126.68
6.8273,121.05
7.3462,122.51
7.7594,130.26
7.8398,137.62
6.9156,141.07
5.7863,141.67
5.6109,141.27
5.2627,142.54
4.6531,140.7
4.2793,134.27
4.5729,127.92
5.6481,122.36
7.2486,125.47
8.2024,130.77
8.0056,138.36
7.2802,145.77
7.2921,149.06
7.2901,151.42
7.2847,154.4
6.5953,160.12
6.0782,164.28
6.2595,165.14
5.821,169.04
4.9179,170.72
4.6913,167.99
4.7225,166.7
4.3432,165.1
3.8879,161.3
3.0635,154.41
2.6073,145.33
2.1565,149.02
2.5805,147.18
2.897,154.02
2.532,163.49
2.1599,162.67
1.7206,153.35
1.4786,141.27
1.8605,129.05
1.9262,127.08
1.7195,102.3
2.7735,89.802
3.7633,96.467
4.1867,104.07
4.6172,122.24
5.0298,139.36
4.9406,147.66
5.0343,153.47
4.9669,160.21
3.9123,165.77
2.3631,168.88
2.2601,172.44
2.1452,170.41
1.7852,139.27
2.9793,117.99
3.2102,124.13
2.5639,132.37
1.529,117.76
1.434,79.634
1.995,78.881
2.8128,90.906
3.5712,115.52
4.0305,134.1
4.4514,148.12
4.7177,155.99
4.4964,162.03
4.3295,156.23
2.9438,146.15
2.8534,128.76
3.3299,134.82
2.7821,137.13
1.9107,117.94
2.0246,105.63
2.5002,112.63
2.9376,127.78
3.6318,145.18
4.0467,163.77
4.2785,177.19
4.3536,173.07
3.1637,175.29
1.9669,157.32
1.7479,142.79
1.6091,142.67
1.4821,126.47
2.1585,109.75
2.8694,108.66
3.2545,112.44
4.0125,117.15
4.6919,121.75
5.0605,127.85
5.5445,134.81
5.5395,142.25
5.577,147.75
6.0497,151.25
6.5808,155.42
6.8317,162.44
6.4559,171.7
5.8868,180.7
5.4903,184.48
5.3284,189.24
5.2949,199.28
5.0453,205.52
4.2963,201.51
3.866,201.26
3.7718,212.33
3.7406,221.73
3.8739,227.79
4.2692,233.65
5.07,238.75
5.861,242
6.7216,246.43
7.16,250
7.5093,256.93
7.7071,263.55
7.7686,271.02
7.1214,275.69
6.6068,276.65
6.0691,279.48
5.4947,282.14
5.3452,273.33
6.0442,264.45
5.869,262.52
4.8511,266.88
4.5916,261.98
4.2668,256.12
3.5268,239.27
3.8288,224.48
6.368,227.43
7.6791,234.61
8.6755,237.8
10.944,243.86
11.143,244.6
9.8554,237.96
9.3,234.94
8.4761,233.92
7.8005,232.68
7.29,231.86
7.0325,233.64
5.618,236.03
5.3756,244.06
5.4611,254.75
5.0307,264.38
5.144,284.48
5.3228,310.59
5.992,340.53
7.3243,359.15
8.2399,6.1402
8.5571,4.8498
8.2814,2.2222
7.5178,356.15
6.9139,342.4
6.9244,337.44
6.2563,340.31
5.5991,339.47
5.6759,322.28
5.797,314.67
5.2254,315.27
4.202,313.27
3.5971,295.31
4.2879,280.87
3.931,277.87
3.5472,267.75
3.4967,262.3
3.3684,254.29
2.9837,240.15
3.384,223.04
3.8881,210.93
4.5207,203.6
5.1555,191.41
5.7029,184.64
6.3062,185.43
6.6471,189.74
6.9588,194.9
6.3299,191.58
6.6987,186.48
7.5404,190.18
8.3768,198.57
8.2723,203.75
8.0376,207.44
8.8292,206.62
9.2672,206.31
9.0357,204.86
9.51,212.47
11.616,225.58
13.086,226.94
13.288,222.71
14.281,225.12
14.673,222.67
15.33,222.62
15.433,220.87
15.272,220.59
15.188,224.15
15.192,228.25
14.937,232.86
14.141,235.18
13.15,233.99
12.715,231.99
12.327,232.15
12.599,228.56
14.016,229.26
14.445,228.1
14.722,223.32
15.248,219.45
15.841,222.76
14.907,222.65
14.029,217.46
14.061,212.17
13.894,201.29
16.228,205.43
16.589,215.08
15.711,218.39
14.782,213.1
15.781,211.68
15.687,217.07
15.703,220.28
15.002,211.65
16.756,212.36
16.76,222.44
14.708,233.57
13.156,249.04
12.593,255.38
13.342,254.43
15.653,259.15
15.618,261.86
17.957,267.56
18.783,266.71
17.495,262.67
16.045,256.39
15.443,250.66
14.514,245.71
14.295,242.93
14.094,240.19
13.719,243.8
13.06,245.72
13.581,255.17
13.685,254.54
13.458,254.01
13.072,252.39
12.643,251.6
12.046,252.25
11.238,249.95
11.271,250.02
10.915,250.06
10.068,249.29
9.8951,249.34
9.8509,249.78
8.9709,251.74
9.8724,250.04
10.086,252.31
9.8635,249.67
10.077,246.65
10.236,244.49
9.232,240.41
8.808,233.64
8.8772,225.66
9.1337,218.3
8.7955,209.11
8.8868,202.59
8.7758,197.72
8.8093,191.73
8.9633,189.19
8.504,182.51
8.982,173.88
9.3222,177.36
9.2253,173.41
9.8873,166.45
10.923,161.68
12.289,161.87
12.822,167.34
13.188,174.44
11.683,179.14
12.587,179.87
12.919,183.87
12.259,189.36
11.988,190.6
11.459,188.21
11.496,191.96
11.419,193.98
11.899,196.13
12.268,195.49
11.96,197.05
11.409,197.92
10.406,197.25
10.144,195.19
10.174,187.04
10.198,183.78
9.9452,183.63
9.4296,182.88
8.4938,175.8
6.8494,168.48
8.9076,218.01
15.321,253.32
14.024,253.55
13.542,242.08
15.425,239.2
15.044,234.86
16.027,231.01
15.174,223.54
15.222,222.39
15.696,224.19
16.478,224.61
17.245,223.21
17.889,224.14
18.399,226.53
18.793,235.05
17.93,242.79
16.067,258.28
16.298,266.35
17.11,270.19
17.081,273.83
16.388,281.19
14.6,287.45
13.366,291.87
12.18,294.58
11.859,294.61
10.838,294.77
9.5568,294.89
8.9135,294.38
9.1976,286.78
8.7178,276.53
8.181,264.74
8.2462,254.33
8.292,247.9
8.52,241.17
8.271,237.39
9.1497,234.42
9.448,228.95
10.079,221.57
11.46,219.62
12.515,221.27
13.669,220.39
13.591,222.28
15.096,222.58
15.953,233.54
15.423,253.1
15.305,268.42
14.198,268.89
13.635,264.49
14.05,259.89
13.513,256.52
13.226,252.39
12.54,244.14
12.903,250.56
13.406,242.66
14.519,233.32
15.325,241.83
19.263,262.2
19.427,285.62
16.124,292.44
13.519,290.02
12.072,282.44
11.214,272.56
